Name,scorecard id,4 Year Graduation rate,6 Year Graduation rate,8 Year Graduation rate,"Latitude, Longitude",City,State,alias,Gender Restricted,URL,NPC URL,Percent Male,Percent Female,HBCU,Student to Faculty Ratio,% American Indian and Alaska Native,% Native Hawaiian and Pacific Islander,% Asian,% Black,% White,% Unknown Race,% Hispanic,% Multiracial,% International,Faculty % American Indian and Alaska Native,Faculty % Native Hawaiian and Pacific Islander,Faculty % Asian,Faculty % Black,Faculty % White,Faculty % Unknown Race,Faculty % Hispanic,nonresident,Faculty % Multiracial,% Students in Legal,% Students in Health,% Students in English,% Students in History,% Students in Library,% Students in Computer,% Students in Language,% Students in Military,% Students in Education,% Students in Resources,% Students in Biological,% Students in Humanities,% Students in Psychology,% Students in Agriculture,% Students in Engineering,% Students in Mathematics,% Students in Architecture,% Students in Construction,% Students in Communication,% Students in Social Science,% Students in Transportation,% Students in Multidiscipline,% Students in Physical Science,% Students in Personal Culinary,% Students in Visual Performing,% Students in Business Marketing,% Students in Science Technology,% Students in Philosophy Religious,% Students in Precision Production,% Students in Engineering Technology,% Students in Ethnic Cultural Gender,% Students in Family Consumer Science,% Students in Parks Recreation Fitness,% Students in Security Law Enforcement,% Students in Communications Technology,% Students in Mechanic Repair Technology,% Students in Theology Religious Vocation,% Students in Public Administration Social Service,Undergraduate Enrollment,Graduate Enrollment,Total Enrollment,in state tuition,out of state tuition,Net Price,Room and Board,Student Earnings 10 Years after College,Religious Affiliation,Location Type,US News Ranking,US News Business Ranking,US News Computer Science Ranking,ACT Math 25th Percentile,ACT Math 50th Percentile,ACT Math 75th Percentile,ACT Verbal 25th Percentile,ACT Verbal 50th Percentile,ACT Verbal 75th Percentile,ACT Score 25th Percentile,ACT Score 50th Percentile,ACT Score 75th Percentile,SAT Math 25th Percentile,SAT Math 50th Percentile,SAT Math 75th Percentile,SAT Verbal 25th Percentile,SAT Verbal 50th Percentile,SAT Verbal 75th Percentile,SAT Equivalent Average Score,Top 3 Majors by Percentage,Top 5 Majors by Percentage,Best Colleges for Engineering,Best Colleges with No Application Fee,Top Public Universities,Hardest Colleges to Get Into,Best Small Colleges,Best College Dorms,Colleges with the Best Professors,Safest College Campuses,Colleges with the Best Academics,Most Diverse Colleges,Best College Food,Best Test Optional Colleges,Best Colleges,Best Colleges for Student Athletes,Best Value Colleges,Most Liberal Colleges,Best Colleges for Accounting and Finance,Best Colleges for Business,Best Colleges for Communications,Top Private Universities,Best College Athletics,Best Colleges that Accept the Common App,Top Party Schools,Colleges with the Best Student Life,Best Christian Colleges,Best Colleges for Music,Most Conservative Colleges,Best Colleges for Religious Studies,Best Colleges for Nursing,Best Colleges for Education,Best College Locations,Best Colleges for Psychology,Best Colleges for English,Best Colleges for Math,Best College Campuses,Best Colleges for Biology,Best Colleges for Information Technology,Best Colleges for Public Policy,Best Greek Life Colleges,Best Colleges for History,Best Catholic Colleges,Best Colleges for Kinesiology and Physical Therapy,Best Colleges for International Relations,Best Colleges for Computer Science,Best Colleges for Chemistry,Best Colleges for Physics,Best Colleges for Environmental Science,Best Colleges for Criminal Justice,Best Liberal Arts Colleges,Best Online Colleges,Best Colleges for Agricultural Sciences,Best Colleges for Public Health,Best Big Colleges,Best Colleges for Anthropology and Sociology,Best Colleges for Design,Best Colleges for Economics,Best Colleges for Political Science,Best Colleges for Sports Management,Best Colleges for Film and Photography,Best Colleges for Performing Arts,Best Colleges for Philosophy,Best Colleges for Art,Best Women's Colleges,Best Hispanic-Serving Institutions,Best Colleges for Architecture,Best Colleges for Global Studies,Best Colleges for Culinary Arts,Best HBCU Schools,Closest Major Airport Code,Drive Time to Airport,Distance to Airport (Miles by road),Total Minutes to Airport,Acceptance Rate,% Jewish,EA,ED,ED2,% Received Merit (Freshmen w/o need),Average Award (Freshmen w/o need),ED Deadline,ED2 Deadline,ED/ED2 Notification Dates,Source URL (may have more useful info),Common Data Set URL
Christian Brothers University,219833,54.84%,59.16%,61.07%,"35.127437, -89.983241",Memphis,TN,CBU,,https://www.cbu.edu/,https://www.cbu.edu/admissions-aid/financial-aid/net-price-calculator/,44.65%,55.35%,,11 to 1,1.19%,0.08%,3.25%,21.41%,27.20%,21.49%,10.23%,10.47%,4.68%,0.87%,0%,6.09%,6.96%,73.04%,7.83%,3.48%,0%,1.74%,0%,1.36%,1.36%,0.34%,0%,5.42%,0%,0%,2.37%,0%,10.85%,1.36%,11.86%,0%,17.97%,1.69%,0%,0%,0%,0%,0%,6.44%,1.02%,0%,2.37%,32.54%,0%,0.68%,0%,2.03%,0%,0%,0%,0.34%,0%,0%,0%,0%,1261,473,1734,34820,34820,13143,9417,53563,Roman Catholic,City: Large (pop. > 250k),,,,16,21,25,18,22,26,18,22,25,530,590,650,500,565,630,1108,Business Marketing: 32.54% | Engineering: 17.97% | Psychology: 11.86%,Business Marketing: 32.54% | Engineering: 17.97% | Psychology: 11.86% | Biological: 10.85% | Multidiscipline: 6.44%,209,139,,190,216,,,670,483,,,462,492,439,234,,297,425,,294,483,324,649,,,,,,,,720,201,,,,456,,,,,57,,,,,,,249,,,,,,,,,,,,,,253,,,,,,,MEM,14 mins,6.4 mi,14,0.9657,,,,,,,,,,,
Lipscomb University,219976,63.54%,71.26%,68.53%,"36.106253, -86.799791",Nashville,TN,David Lipscomb University  David Lipscomb  Lipscomb,,https://www.lipscomb.edu/,https://www.lipscomb.edu/admissions/freshmen-admissions/tuition-and-costs/net-price-calculator,39.29%,60.71%,,14 to 1,0.44%,0.14%,3.80%,7.33%,71.27%,2.68%,9.27%,1.73%,3.33%,0%,0%,0.81%,5.67%,88.26%,0.81%,2.83%,0%,1.62%,2.46%,9.54%,1.16%,0.29%,0%,2.31%,0.58%,0%,5.49%,0.43%,12.28%,0.58%,5.49%,0%,5.35%,1.16%,0%,0%,3.47%,1.73%,0%,2.02%,0.29%,0%,10.98%,24.71%,0%,0.72%,0%,0%,0.43%,1.16%,2.60%,0.43%,0%,0%,2.17%,2.17%,2945,1826,4771,35752,35752,24627,13976,51858,Churches of Christ,City: Large (pop. > 250k),212,,,20,24,28,22,27,32,22,26,29,540,585,630,560,600,640,1224,Business Marketing: 24.71% | Biological: 12.28% | Visual Performing: 10.98%,Business Marketing: 24.71% | Biological: 12.28% | Visual Performing: 10.98% | Health: 9.54% | Education: 5.49%,170,,,312,68,368,495,168,218,879,340,182,195,177,440,,130,77,128,119,248,148,,211,14,64,,94,161,56,159,256,,225,280,144,99,82,,298,,57,,,,,,,,,,,,188,76,,,120,100,150,,,,,,,,,BNA,18 mins,13.0 mi,18,0.7399,,,,,,,,,,,https://www.lipscomb.edu/sites/default/files/2021-06/CDS_2020-2021%2520Lipscomb.pdf
East Tennessee State University,220075,34.94%,50.58%,52.03%,"36.301643, -82.366954",Johnson City,TN,ETSU,,https://www.etsu.edu/,https://www.etsu.edu/financial-aid-and-scholarships/cost/netprice.php,38.08%,61.92%,,15 to 1,0.12%,0.03%,1.57%,6.74%,76.41%,5.93%,3.96%,3.94%,1.30%,0%,0.24%,5.47%,2.07%,78.49%,0.85%,1.70%,9.36%,1.82%,0%,31.73%,2.18%,1.38%,0%,2.99%,0.23%,0%,3.37%,0%,4.17%,3.75%,5.51%,0%,0.23%,0.54%,0%,0%,3.64%,2.72%,0%,0%,1.99%,0%,3.60%,12.51%,0%,0.46%,0%,2.07%,0%,1.99%,5.01%,3.25%,2.14%,0%,0%,4.55%,9768,2987,12755,12740,12740,13220,9582,42563,,City: Small (pop. < 100k),317,,,17,21,25,18,23,27,19,23,26,,,,,,,1135,Health: 31.73% | Business Marketing: 12.51% | Psychology: 5.51%,Health: 31.73% | Business Marketing: 12.51% | Psychology: 5.51% | Parks Recreation Fitness: 5.01% | Public Administration Social Service: 4.55%,,,172,,,611,299,600,457,972,322,416,442,271,957,,278,,,,203,,336,228,,,,,136,,384,322,313,,232,372,,197,290,362,,,,,274,,,305,,,,95,,,,,,168,,,,,,,,,,,TRI,25 mins,19.0 mi,25,0.874,,,,,,,,,,,
Johnson University,220473,58.49%,61.45%,61.54%,"35.937193, -83.750273",Knoxville,TN,,,johnsonu.edu/,https://johnsonu.edu/admission/tuition/#net-price-calc,48.55%,51.45%,,10 to 1,0.15%,0%,0.30%,4.72%,82.65%,3.35%,2.59%,2.89%,3.35%,0%,0%,0%,7.89%,89.47%,0%,2.63%,0%,0%,0%,1.78%,1.18%,3.55%,0%,0%,1.78%,0%,11.24%,0%,0%,0%,8.88%,0%,0%,0%,0%,0%,2.96%,0%,0%,0%,0%,0%,0.59%,20.12%,0%,0.59%,0%,0%,0%,3.55%,4.14%,0%,0.59%,0%,39.05%,0%,657,284,941,19274,19274,19934,8061,38008,Christian Churches and Churches of Christ,Rural: Fringe,,,,17,21,24,18,22,25,19,22,24,490,538,585,490,545,600,1098,Theology Religious Vocation: 39.05% | Business Marketing: 20.12% | Education: 11.24%,Theology Religious Vocation: 39.05% | Business Marketing: 20.12% | Education: 11.24% | Psychology: 8.88% | Parks Recreation Fitness: 4.14%,,,,277,66,1,759,,322,,222,178,190,733,,,,,282,116,,,,284,12,,58,9,,115,477,277,293,,18,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,TYS,29 mins,19.7 mi,29,0.8092,,,,,,,,,,,
Lee University,220613,45.76%,57.99%,60.52%,"35.166019, -84.871399",Cleveland,TN,,,www.leeuniversity.edu/,https://npc.collegeboard.org/student/app/lee,37.51%,62.49%,,13 to 1,0.29%,0.15%,1.35%,4.72%,81.89%,2.90%,1.88%,3.96%,2.87%,0%,0.54%,3.23%,0%,90.32%,1.08%,4.30%,0%,0.54%,0%,15.06%,3.25%,1.33%,0%,1.45%,1.33%,0%,11.57%,0%,1.45%,7.11%,6.75%,0%,0.12%,0.84%,0%,0%,8.80%,3.13%,0%,0.12%,0.36%,0%,5.42%,13.73%,0%,0.12%,0%,0%,0%,0%,3.13%,0.24%,0%,0%,14.46%,0.24%,3412,555,3967,20500,20500,19443,8510,42772,Church of God,City: Small (pop. < 100k),,,,18,22,26,21,26,30,20,24,28,500,550,600,500,565,630,1169,Health: 15.06% | Theology Religious Vocation: 14.46% | Business Marketing: 13.73%,Health: 15.06% | Theology Religious Vocation: 14.46% | Business Marketing: 13.73% | Education: 11.57% | Communication: 8.8%,,,,,,112,,319,699,,450,,611,560,885,,,253,151,372,490,,,563,110,,23,122,,144,,302,371,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHA,32 mins,25.1 mi,32,0.8294,,,,,,,,,,,https://www.leeuniversity.edu/wp-content/uploads/CDS-2020-2021.pdf
Lincoln Memorial University,220631,42.79%,53.01%,57.73%,"36.578508, -83.660198",Harrogate,TN,LMU,,www.lmunet.edu/,www.lmunet.edu/student-financial-services/undergraduate/net-price-calculator,28.13%,71.87%,,10 to 1,1.14%,0%,1.90%,5.65%,79.37%,1.33%,5.02%,0%,5.59%,0%,0%,1.94%,1.61%,78.06%,16.45%,1.94%,0%,0%,0%,59.67%,1.32%,0.99%,0%,0.17%,0%,0%,2.48%,0%,5.95%,1.98%,3.31%,5.62%,0%,0.33%,0%,0%,1.32%,0.17%,0%,0%,0.50%,0%,0.50%,8.10%,0%,0%,0%,0%,0%,0%,4.79%,1.98%,0%,0%,0%,0.83%,1575,3445,5020,24210,24210,16017,10674,44726,,Town: Distant,299,,,17,21,25,19,23,26,18,22,25,500,564,628,493,546,598,1102,Health: 59.67% | Business Marketing: 8.1% | Biological: 5.95%,Health: 59.67% | Business Marketing: 8.1% | Biological: 5.95% | Agriculture: 5.62% | Parks Recreation Fitness: 4.79%,,126,,532,200,37,294,,433,634,,430,457,347,663,,,,,279,383,305,,,,,,,69,,,,,,666,329,,,,,,176,,,,,,258,,,,,,,,,,,,,,,,,,,,,TYS,1 hour 34 mins,71.1 mi,94,0.699,,,,,,,,,,,
Maryville College,220710,45.86%,55.62%,51.29%,"35.751505, -83.964223",Maryville,TN,,,www.maryvillecollege.edu/,www.maryvillecollege.edu/admissions/finaid/net-price-calculator/,46.05%,53.95%,,12 to 1,0.41%,0.10%,1.13%,10.56%,71.49%,1.13%,5.95%,4.72%,4.51%,0%,0%,2.70%,0%,87.84%,9.46%,0%,0%,0%,0%,7.14%,2.86%,3.33%,0%,0%,5.71%,0%,3.33%,3.81%,12.86%,0%,11.90%,0%,1.43%,1.90%,0%,0%,0%,10.00%,0%,0.48%,0.48%,0%,10.00%,17.14%,0%,0.48%,0%,0%,0%,0%,7.14%,0%,0%,0%,0%,0%,975,,,37016,37016,21851,12306,45765,Presbyterian Church (USA),Suburb: Large City,,,,17,22,26,19,25,30,19,24,29,520,580,640,580,630,680,1187,Business Marketing: 17.14% | Biological: 12.86% | Psychology: 11.9%,Business Marketing: 17.14% | Biological: 12.86% | Psychology: 11.9% | Social Science: 10.0% | Visual Performing: 10.0%,,186,,370,281,424,658,206,632,484,,552,584,794,,,,430,,351,,,,697,102,,,,,420,,301,,,332,299,,,,245,,244,,,,,,224,129,,,,,,121,,,,,,,,,,,,,,TYS,17 mins,8.6 mi,17,0.6819,,,,,,,,,,,
University of Memphis,220862,32.21%,54.40%,56.92%,"35.118878, -89.938068",Memphis,TN,,,https://www.memphis.edu/,https://www.memphis.edu/financialaid/net_price_calculator,39.31%,60.69%,,16 to 1,0.18%,0.02%,3.95%,38.34%,42.77%,1.36%,8.19%,3.91%,1.27%,0.21%,0%,13.05%,10.79%,68.96%,0.41%,4.21%,1.23%,1.13%,0%,9.57%,2.23%,1.26%,0%,1.73%,1.54%,0%,4.60%,0%,2.30%,2.83%,5.51%,0%,4.19%,0.31%,0.25%,0%,5.16%,3.56%,0.09%,9.07%,1.54%,0.16%,4.53%,17.44%,0%,0.28%,0%,1.16%,0.03%,0%,15.49%,3.18%,0%,0%,0%,1.98%,14591,4920,19511,14088,14088,14023,9354,46044,,City: Large (pop. > 250k),263,,194,,,,,,,,,,,,,,,,,Business Marketing: 17.44% | Parks Recreation Fitness: 15.49% | Health: 9.57%,Business Marketing: 17.44% | Parks Recreation Fitness: 15.49% | Health: 9.57% | Multidiscipline: 9.07% | Psychology: 5.51%,,,156,,,644,385,,472,248,124,385,410,187,814,,173,420,,,88,,200,174,,,,,236,435,672,257,361,,315,438,,,179,354,,137,,,229,,,196,,23,,,,,,,,211,,,,,,,,,,,MEM,16 mins,7.9 mi,16,0.9521,0.30%,,,,,,,,,,https://www.memphis.edu/oir/oirweb/WebReports/ProfilesAndFactbooks/CDS2021_2022.pdf
Lafayette College,213385,84.93%,87.91%,88.35%,"40.69956, -75.209786",Easton,PA,,,https://www.lafayette.edu/,https://npc.collegeboard.org/app/lafayette,51.23%,48.77%,,10 to 1,0%,0%,4.16%,5.26%,68.44%,3.02%,7.83%,3.42%,7.87%,0.39%,0%,5.49%,3.92%,73.33%,2.75%,3.14%,8.24%,2.75%,0%,0%,3.48%,1.49%,0%,4.47%,0.66%,0%,0%,2.65%,12.75%,0%,5.63%,0%,26.32%,3.15%,0%,0%,0%,31.13%,0%,0.99%,2.98%,0%,2.81%,0%,0%,0.99%,0%,0%,0.50%,0%,0%,0%,0%,0%,0%,0%,2719,,,"$75,134 ","$75,134 ",41937,16670,94200,Presbyterian Church (USA),Suburb: Large City,,,,27,30,32,30,33,35,30,32,33,660,700,740,640,680,720,1396,Social Science: 31.13% | Engineering: 26.32% | Biological: 12.75%,Social Science: 31.13% | Engineering: 26.32% | Biological: 12.75% | Psychology: 5.63% | Computer: 4.47%,88,,,90,29,584,213,,92,335,,86,93,103,45,,,,,66,293,79,405,351,,,,,,,594,94,104,109,401,113,,,,92,,,46,128,169,135,100,,29,,,,,113,,63,109,,48,,88,95,,,,66,,,EWR,1 hour 8 mins,62.2 mi,68,0.4074,9.40%,,Y,Y,29%,"$20,740 ",15-Nov,15-Jan,15-Dec,https://admissions.lafayette.edu/deadlines-and-forms/,https://oir.lafayette.edu/wp-content/uploads/sites/196/2023/03/CDS2022-2023.pdf
Muhlenberg College,214175,77.49%,81.96%,84.46%,"40.596416, -75.508502",Allentown,PA,,,www.muhlenberg.edu/,www.muhlenberg.edu/financialaid/prospectivestudents/netpricecalculator/,40.40%,59.60%,,9 to 1,0%,0.15%,3.27%,4.48%,73.44%,3.85%,10.19%,3.22%,1.41%,0%,0%,7.53%,5.38%,77.96%,0.54%,5.91%,2.15%,0.54%,0%,1.34%,2.88%,1.54%,0%,3.07%,0%,0%,0%,0.96%,11.32%,0%,12.28%,0%,0%,2.50%,0%,0%,6.14%,8.45%,0%,1.34%,0.96%,0%,21.50%,23.22%,0%,1.73%,0%,0%,0.77%,0%,0%,0%,0%,0%,0%,0%,2052,21,2073,"$74,595 ","$74,595 ",26983,12800,70439,Evangelical Lutheran Church,City: Midsize (250k > pop. > 100k),,,,24,28,31,28,31,34,27,30,32,590,635,680,610,650,690,1306,Business Marketing: 23.22% | Visual Performing: 21.5% | Psychology: 12.28%,Business Marketing: 23.22% | Visual Performing: 21.5% | Psychology: 12.28% | Biological: 11.32% | Social Science: 8.45%,,,,288,83,171,503,,191,935,10,223,238,386,220,,101,147,112,145,,179,606,683,,,,,,,,241,172,154,165,197,,,,183,,,144,,,,,,64,,,50,,271,,194,200,,117,49,,293,,,,,,,PHL,1 hour 10 mins,67.5 mi,70,0.6775,21.90%,,Y,Y,50%,"$24,355 ",15-Nov,1-Feb,"Mid-December, late February",https://www.muhlenberg.edu/earlydecision/,
"The University of Tennessee, Martin",221768,34.33%,51.69%,48.58%,"36.340338, -88.864211",Martin,TN,UT Martin,,https://www.utm.edu/,https://www.utm.edu/departments/finaid/calculator.php,39.26%,60.74%,,15 to 1,0.19%,0.04%,0.82%,13.01%,77.99%,0.19%,3.61%,3.69%,0.46%,0%,0%,3.96%,4.95%,86.47%,0%,1.98%,2.64%,0%,0%,3.97%,0.76%,1.32%,0%,1.14%,0.19%,0%,7.85%,2.93%,3.22%,0%,1.80%,17.88%,2.84%,0.38%,0%,0%,2.46%,2.18%,0%,10.88%,0.76%,0%,3.78%,15.52%,0%,0.19%,0%,0%,0%,2.27%,8.89%,4.54%,0%,0%,0%,4.26%,4743,705,5448,15952,15952,10857,6750,43043,,Town: Remote,,,,17,21,24,19,22,25,19,22,25,490,535,580,520,555,590,1119,Agriculture: 17.88% | Business Marketing: 15.52% | Multidiscipline: 10.88%,Agriculture: 17.88% | Business Marketing: 15.52% | Multidiscipline: 10.88% | Parks Recreation Fitness: 8.89% | Education: 7.85%,,,173,439,,78,547,614,572,,184,,445,326,707,,219,417,,,215,,228,148,,,33,,,171,754,,,,117,,,237,173,,,,,,,,,215,,,41,,,,,,,,,,,,,,,,,,MEM,2 hours 24 mins,137 mi,144,0.7512,,,,,,,,,,,https://www.utm.edu/offices-and-services/office-of-institutional-research/_media/2022-2023/CDS_2022-2023%2520B.Enrollment%2520and%2520Persistence.pdf
Tennessee Technological University,221847,37.16%,59.86%,57.04%,"36.174754, -85.504039",Cookeville,TN,"Tennessee Tech University, Tennessee Tech, TTU, Tenn Tech, TN Tech, Tech, ",,www.tntech.edu/,https://www.tntech.edu/financialaid/cost/calculator.php,53.52%,46.48%,,18 to 1,0.21%,0.07%,1.89%,4.43%,83.22%,1.21%,4.28%,2.92%,1.77%,0.44%,0.22%,6.84%,2.87%,78.37%,0.66%,2.65%,5.96%,1.99%,0%,7.34%,0.84%,0.58%,0%,4.61%,0.26%,0%,10.38%,3.20%,4.40%,1.15%,1.57%,3.41%,17.66%,0.47%,0%,0%,1.52%,4.40%,0%,7.13%,2.04%,0%,2.46%,15.25%,0%,0%,0%,3.25%,0%,3.51%,4.56%,0%,0%,0%,0%,0%,8186,1446,9632,19834,19834,14795,8850,45397,,Town: Remote,285,,215,,,,,,,,,,,,,,,,,Engineering: 17.66% | Business Marketing: 15.25% | Education: 10.38%,Engineering: 17.66% | Business Marketing: 15.25% | Education: 10.38% | Health: 7.34% | Multidiscipline: 7.13%,,,195,,,,506,629,461,,231,458,487,376,622,,199,,,,396,,632,586,,,,,,315,691,,,,454,,,,,,,,,217,264,,,,,,,,,,,,,,,,,,,,,,,,BNA,1 hour 13 mins,74.7 mi,73,0.7915,,,,,,,,,,,
Clarkson University,190044,63.34%,75.60%,77.91%,"44.662716, -74.999359",Potsdam,NY,,,https://www.clarkson.edu/,https://www.clarkson.edu/net-price-calculator,69.28%,30.72%,,13 to 1,0.25%,0%,3.58%,3.23%,79.18%,0.68%,6.45%,3.98%,2.65%,0%,0%,12.41%,2.92%,56.93%,3.65%,1.46%,21.90%,0.73%,0%,0%,0%,0.30%,0%,4.99%,0%,0%,0%,0.15%,7.72%,0%,3.18%,0%,54.16%,0.61%,0%,0%,0.91%,0.76%,0%,1.36%,1.51%,0%,0%,12.71%,0%,0%,0%,11.65%,0%,0%,0%,0%,0%,0%,0%,0%,2790,1101,3891,54370,54370,31339,16244,86334,,Town: Remote,127,,194,26,29,31,23,28,33,25,29,32,600,650,700,580,630,680,1289,Engineering: 54.16% | Business Marketing: 12.71% | Engineering Technology: 11.65%,Engineering: 54.16% | Business Marketing: 12.71% | Engineering Technology: 11.65% | Biological: 7.72% | Computer: 4.99%,98,63,,660,107,,169,204,302,,,271,289,395,88,,,170,,178,702,216,391,,,,,,,,,,,181,,384,,,,,,,,203,,,,,,,,,,,,,300,,,,,,,,,,,,YOW,1 hour 39 mins,79.3 mi,99,0.7458,0%,,Y,,,,1-Dec,,1-Jan,https://www.clarkson.edu/undergraduate-admissions/first-year-students-applying-costs-and-financial-aid,
Swarthmore College,216287,86.95%,94.09%,94.59%,"39.905159, -75.354278",Swarthmore,PA,Swat,,www.swarthmore.edu/,www.swarthmore.edu/financial-aid/net-price-calculator,49.85%,50.15%,,8 to 1,0.30%,0.12%,17.47%,7.67%,33.17%,2.86%,13.63%,9.25%,15.52%,1.26%,0%,8.37%,5.86%,68.20%,3.77%,7.11%,3.35%,2.09%,0%,0%,3.99%,1.99%,0%,10.26%,2.85%,0%,4.27%,1.42%,13.68%,0%,4.56%,0%,6.55%,5.13%,0%,0%,0%,21.94%,0%,6.55%,5.13%,0%,5.98%,0%,0%,3.70%,0%,0%,1.99%,0%,0%,0%,0%,0%,0%,0%,1643,,,"$80,284 ","$80,284 ",20780,17150,80398,,Suburb: Large City,,,,30,33,35,34,35,36,33,34,35,720,755,790,710,740,770,1504,Social Science: 21.94% | Biological: 13.68% | Computer: 10.26%,Social Science: 21.94% | Biological: 13.68% | Computer: 10.26% | Engineering: 6.55% | Multidiscipline: 6.55%,56,,,16,6,515,65,,22,8,,28,31,78,26,,,,,27,,28,,609,,,,21,,31,,45,41,32,,44,,,,19,,,15,49,45,28,69,,5,,,,,43,,39,44,,22,23,20,24,,,,,,,PHL,18 mins,9.3 mi,18,0.0779,17.00%,,Y,Y,2%,"$54,256 ",15-Nov,4-Jan,"Mid-December, mid-February",https://www.swarthmore.edu/admissions-aid/application-materials-deadlines,https://www.swarthmore.edu/sites/default/files/assets/documents/institutional-research/Swarthmore%2520CDS_2022-2023.pdf
Abilene Christian University,222178,46.88%,60.23%,62.00%,"32.468943, -99.709797",Abilene,TX,,,www.acu.edu/,https://www.highered.texas.gov/apps/NPC/?Fice=003537,39.16%,60.84%,,13 to 1,0.38%,0.03%,1.53%,7.89%,63.40%,0.35%,18.08%,4.66%,3.67%,0.36%,0%,1.08%,5.42%,85.92%,0.72%,4.69%,0.36%,1.44%,0%,11.87%,1.03%,0.90%,0%,1.42%,0.39%,0%,6.71%,0.52%,5.81%,2.06%,7.10%,1.42%,2.19%,0.65%,0.90%,0%,4.13%,1.29%,0%,2.71%,1.03%,0%,7.74%,20.00%,0%,0%,0%,0%,0%,2.45%,7.87%,1.55%,0%,0%,4.90%,3.35%,3131,1774,4905,39350,39350,29300,11628,51336,Churches of Christ,City: Midsize (250k > pop. > 100k),250,,,20,24,27,21,25,29,22,25,28,520,575,630,530,585,640,1186,Business Marketing: 20.0% | Health: 11.87% | Parks Recreation Fitness: 7.87%,Business Marketing: 20.0% | Health: 11.87% | Parks Recreation Fitness: 7.87% | Visual Performing: 7.74% | Psychology: 7.1%,,,,403,,188,377,654,260,751,620,295,314,189,832,,95,210,138,195,236,230,,478,44,,22,124,,170,,442,,,388,361,,151,,,,,,,,,,136,,,,,,173,63,,277,17,,176,,194,,,,,,,FTW,2 hours 17 mins,152 mi,137,0.7011,,Y,,,,,,,,,
Austin College,222983,64.87%,68.27%,72.80%,"33.646345, -96.596331",Sherman,TX,,,www.austincollege.edu/,https://www.austincollege.edu/admission/financial-aid/net-price-calculator/,46.52%,53.48%,,11 to 1,0.91%,0.17%,13.66%,7.45%,48.84%,0.50%,24.67%,2.57%,1.24%,1.96%,0%,5.88%,4.90%,81.37%,0%,4.90%,0.98%,0%,0%,8.61%,8.20%,4.10%,0%,1.64%,2.46%,0%,0%,2.05%,9.43%,0%,13.11%,0%,0%,1.64%,0%,0%,4.10%,12.70%,0%,4.92%,3.69%,0%,2.87%,19.67%,0%,0%,0%,0%,0.82%,0%,0%,0%,0%,0%,0%,0%,1208,16,1224,"$57,967 ","$57,967 ",22677,12752,59728,Presbyterian Church (USA),City: Small (pop. < 100k),,,,22,25,28,22,27,31,23,26,29,550,610,670,570,620,670,1237,Business Marketing: 19.67% | Psychology: 13.11% | Social Science: 12.7%,Business Marketing: 19.67% | Psychology: 13.11% | Social Science: 12.7% | Biological: 9.43% | Health: 8.61%,,151,,176,233,,454,,230,455,,485,515,531,925,,,435,,306,,335,490,,85,,,,,,,,184,,,208,,,,220,,,,,173,,,,112,,,47,,229,,210,255,,,,,210,,,,,,,DFW,1 hour 7 mins,69.4 mi,67,0.4271,0%,Y,Y,,98%,"$29,983 ",,,,,https://www.austincollege.edu/wp-content/uploads/2023/02/CDS-2022-2023-2023-02-03.pdf
"CUNY, City College",190567,23.83%,57.37%,60.80%,"40.819846, -73.948542",New York,NY,"City, City College, CCNY, City College of New York",,www.ccny.cuny.edu/,https://npc.cuny.edu/npc/public/fin_aid/financial_aid_estimator/FinAidEstimator.jsp,45.86%,54.14%,,14 to 1,0.19%,0.15%,26.07%,14.80%,12.52%,0%,38.06%,3.03%,5.19%,0%,0%,15.67%,8.77%,61.75%,0%,9.51%,3.92%,0.37%,0%,0%,3.87%,1.73%,0%,4.92%,0.41%,0%,4.40%,0.19%,10.59%,4.81%,15.14%,0%,16.64%,2.52%,2.52%,0%,3.79%,13.04%,0%,0.04%,1.43%,0%,8.64%,4.02%,0%,0.60%,0%,0%,0.71%,0%,0%,0%,0%,0%,0%,0%,11861,2667,14528,15290,15290,2061,16492,58052,,City: Large (pop. > 250k),151,,158,,,,,,,,,,,,,,,,,Engineering: 16.64% | Psychology: 15.14% | Social Science: 13.04%,Engineering: 16.64% | Psychology: 15.14% | Social Science: 13.04% | Biological: 10.59% | Visual Performing: 8.64%,,,198,188,,,330,492,438,947,,461,491,,539,,,,,,,,,,,116,,,,393,398,363,160,274,,447,,,,317,,,121,317,,,,,,,,,,,,,,,,195,,119,,66,,,,,LGA,26 mins,9.5 mi,26,0.6406,5.90%,,,,,,,,,,https://www.ccny.cuny.edu/sites/default/files/2023-07/20230710_CDS_2022-2023.pdf
